NAME,TICKER,COUNTRY,ICB,INDUS,SUP SEC,SEC,SUB SEC
McKesson Corp.,MCK,United States,5333,Consumer Services,Retail,Food & Drug Retailers,Drug Retailers
State Street Corp.,STT,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
BlackRock Inc.,BLK,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
ArcelorMittal,MT,France,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
HDFC Bank Ltd.,HDB,India,8355,Financials,Banks,Banks,Banks
Archer Daniels Midland Co.,ADM,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Nippon Telegraph & Telephone Corp.,NTT,Japan,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Teck Resources Ltd.,TCK,Canada,1755,Basic Materials,Basic Resources,Industrial Metals & Mining,Nonferrous Metals
Public Storage,PSA,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Chubb Corp.,CB,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
China Petroleum & Chemical Corp.,SNP,China,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
CBS Corp. Cl B,CBS,United States,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Noble Energy Inc.,NBL,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
FirstEnergy Corp.,FE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Air Products & Chemicals Inc.,APD,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
American Electric Power Co. Inc.,AEP,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Mosaic Co.,MOS,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Franklin Resources Inc.,BEN,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
Brookfield Asset Management Inc. Cl A,BAM,Canada,8771,Financials,Financial Services,Financial Services,Asset Managers
Raytheon Co.,RTN,United States,2717,Industrials,Industrial Goods & Services,Aerospace & Defense,Defense
Salesforce.com Inc.,CRM,United States,9537,Technology,Technology,Software & Computer Services,Software
Lorillard Inc.,LO,United States,3785,Consumer Goods,Personal & Household Goods,Tobacco,Tobacco
Shinhan Financial Group Co. Ltd.,SHG,South Korea,8355,Financials,Banks,Banks,Banks
Eaton Corp.,ETN,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Nomura Holdings Inc.,NMR,Japan,8777,Financials,Financial Services,Financial Services,Investment Services
Sysco Corp.,SYY,United States,5337,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers
Marsh & McLennan Cos.,MMC,United States,8534,Financials,Insurance,Nonlife Insurance,Insurance Brokers
H.J. Heinz Co.,HNZ,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Williams Cos.,WMB,United States,0577,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Pipelines
Consolidated Edison Inc.,ED,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Equity Residential,EQR,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
Aetna Inc.,AET,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Ecolab Inc.,ECL,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
PG&E Corp.,PCG,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Chesapeake Energy Corp.,CHK,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
PPL Corp.,PPL,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
AngloGold Ashanti Ltd.,AU,South Africa,1777,Basic Materials,Basic Resources,Mining,Gold Mining
Discover Financial Services,DFS,United States,8773,Financials,Financial Services,Financial Services,Consumer Finance
Transocean Ltd.,RIG,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Aviva PLC,AV,United Kingdom,8575,Financials,Insurance,Life Insurance,Life Insurance
Ventas Inc.,VTR,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Annaly Capital Management Inc.,NLY,United States,8676,Financials,Real Estate,Real Estate Investment Trusts,Mortgage Real Estate Investment Trusts
Stryker Corp.,SYK,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
Pearson PLC,PSO,United Kingdom,5557,Consumer Services,Media,Media,Publishing
ICICI Bank Ltd.,IBN,India,8355,Financials,Banks,Banks,Banks
Mead Johnson Nutrition Co.,MJN,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Becton Dickinson & Co.,BDX,United States,4537,Health Care,Health Care,Health Care Equipment & Services,Medical Supplies
HCP Inc.,HCP,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Kyocera Corp.,KYO,Japan,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
Macy's Inc.,M,United States,5373,Consumer Services,Retail,General Retailers,Broadline Retailers
CRH PLC,CRH,Ireland,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Progress Energy Inc.,PGN,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Goodrich Corp.,GR,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Vornado Realty Trust,VNO,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
TE Connectivity Ltd.,TEL,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
ProLogis Inc.,PLD,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
AON Corp.,AON,United States,8534,Financials,Insurance,Nonlife Insurance,Insurance Brokers
Public Service Enterprise Group Inc.,PEG,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Marathon Petroleum Corp.,MPC,United States,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
General Motors Co.,GM,United States,3353,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles
Fresenius Medical Care AG & Co. KGaA,FMS,Germany,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
LyondellBasell Industries N.V. Cl A,LYB,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Boston Properties Inc.,BXP,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Allstate Corp.,ALL,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Agilent Technologies Inc.,A,United States,2737,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment
Rogers Communications Inc. Cl B,RCI,Canada,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
Talisman Energy Inc.,TLM,Canada,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
EnCana Corp.,ECA,Canada,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Northrop Grumman Corp.,NOC,United States,2717,Industrials,Industrial Goods & Services,Aerospace & Defense,Defense
Humana Inc.,HUM,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Cardinal Health Inc.,CAH,United States,5333,Consumer Services,Retail,Food & Drug Retailers,Drug Retailers
Waste Management Inc.,WM,United States,2799,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services
KB Financial Group Inc.,KB,South Korea,8355,Financials,Banks,Banks,Banks
Pioneer Natural Resources Co.,PXD,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Motorola Solutions Inc.,MSI,United States,9578,Technology,Technology,Technology Hardware & Equipment,Telecommunications Equipment
